Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Structure Owner,Barrier Status,Partial Passability,Assessment Type Completed,Total Hab Gain Set,Num Barriers Set,Next Steps,Notes,Supporting Links
197013,11300356.0,Midday Creek,Patchett Road,Stream crossing - CBS,,POTENTIAL,,Barrier assessment,2.33,1.0,Engage with partners,Scores as potential barrier. Access to upstream habitat not granted. Dry at time of assessment. Likely only seasonally watered.,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
203641,24758913.0,Stumbles Creek,Private,Stream crossing - CBS,,POTENTIAL,,Barrier assessment,0.97,3.0,Engage with partners,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205314
203642,,Stumbles Creek,Private,Stream crossing - CBS,,POTENTIAL,,Barrier assessment,0.97,3.0,Engage with partners,"Approximately 30m upstream form culvert channel splits into two branches. North branch flows through wetland carrying 20% of flow, South Branch follows road ditch carrying 80% of flow. Confluence of branches at UTM - 10.651476. 5560172. Spawning habitat - no spawning due to lack of suitable substrate. Overwintering habitat - downstream of culvert are steady enough flows for overwintering but upstream are reduced flows, and possibly are suitable only at higher flows; unkown flow regime above culvert. Suspected, but uncertain of aquifer flows. Channel is mis-mapped by TRIM - needs to be verified. Rearing habitat -  stream provides good cover, but upstream N channel flows through wetlands (not preferable habitat for RB). South branch flows along the ditch for at least 50 meters - but unknown source - needs verification. Unknown fish habitat upstream of wetland - stream requires assessment  to determine suitability for RB. Access to property not granted.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205315
203637,,Stumbles Creek,Gravel pit,Stream crossing - CBS,,BARRIER,,Barrier assessment,0.82,2.0,Engage with partners,"Embedment present for last 1/5 of outlet. Rearing habitat - good perennial flows, abundant cover, stable creek. Cover - overstream vegetation, undercut, and small woody debries. Spawning habitat - none - mixed cobble, gravel, fines. Overwintering habitat - fair - stream with approximately 3% gradient - fish would need to find low gradient locations to survive water velocities; fed by aquifer - consistent temperature throughout winter.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205310
203639,,Stumbles Creek,Unnamed,Stream crossing - CBS,,BARRIER,,Barrier assessment,0.82,2.0,Engage with partners,Abandoned road. Relatively easy to remove crossing with landowner permission,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205312
197041,11300445.0,Godey Creek,Pouley Road,Stream crossing - CBS,,BARRIER,,Barrier assessment,0.65,1.0,Engage with partners,"Modified channel in industrial area.  Two dead RB found in culvert.  Channel dry.  Seasonal flow in lower reach indicated by local business owner, Saunders",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
203634,11303636.0,Shackan Creek,,Stream crossing - CBS,,BARRIER,,,0.63,1.0,Engage with partners,,
196966,11300830.0,Bottletop Creek,,Stream crossing - CBS,,BARRIER,,,0.49000000000000005,2.0,Engage with partners,"Wildlife fence across upstream of culvert,trapping debris. First culvert upstream of Coq Hwy",
203630,11300395.0,Bottletop Creek,,Stream crossing - CBS,,BARRIER,,,0.49000000000000005,2.0,Engage with partners,,
197692,11305296.0,Manning Creek,Manning Creek FSR,Stream crossing - CBS,FLNRO,BARRIER,,Barrier assessment,,,Habitat confirmation (data deficient structures only),Steep channel upstream of crossing. ,
197693,11303684.0,Manning Creek,Unnamed,Stream crossing - CBS,Private,BARRIER,,Barrier assessment,,,Habitat confirmation (data deficient structures only),,
1011302252,,Trib 1 to Coldwater @ KVR,,Stream crossing - CBS,,,,Barrier assessment,,,Engage with partners,,
