Barrier ID,Site Name,Watershed Name*,Structure Status,Structure Count Ordered by Model Rank - Spawning and Rearing,Average Habitat Upstream of Structure - Spawning and Rearing,Actual Habitat Upstream of Structure - Spawning and Rearing,Structure Count Ordered by Model Rank - Spawning,Average Habitat Upstream of Structure - Spawning,Actual Habitat Upstream of Structure - Spawning,Structure Count Ordered by Model Rank - Rearing,Average Habitat Upstream of Structure - Rearing,Actual Habitat Upstream of Structure - Rearing
1011304238,Skuhun Creek @ Mouth (11304238),Lower Nicola,Rehabilitated barrier,1,13.095,13.43,1,2.805,3.14,1,13.095,13.43
197889,Skuhun Creek @ Hwy 8 (197889),Lower Nicola,Rehabilitated barrier,1,13.095,12.76,1,2.805,2.47,1,13.095,12.76
197681,Chataway @ Skuhun-Pimanus FSR (197681),Lower Nicola,Non-actionable barrier,2,2.575,0.08,,0,0,2,2.575,0.08
6ac0dab8-0785-4e46-ac24-c99d538b05bf,Chataway weir,Lower Nicola,Data-deficient barrier,2,2.575,5.07,,0,0,2,2.575,5.07
196969,Murray Lake Creek (196969),Lower Nicola,Rehabilitated barrier,3,3.07,3.07,,0,0,3,3.07,3.07
197882,Stumbles Creek @ private  (11304215),Lower Nicola,Priority barrier,4,1.345,0.46,3,1.04,0.47,4,1.345,0.46
197884,Stumbles @ Hwy 8 (11300751),Lower Nicola,Priority barrier,4,1.345,2.23,3,1.04,1.61,4,1.345,2.23
197013,Midday Cr @ Patchett Rd (197013),Lower Nicola,Data-deficient barrier,5,2.33,2.33,2,2.33,2.33,5,2.33,2.33
203627,Mine Creek at Highway 5 (203627),Lower Nicola,Non-actionable barrier,6,0.755,0.08,8,0.09,0.09,7,0.755,0.08
196942,Mine Creek @ Mine Creek Road (196942),Lower Nicola,Non-actionable barrier,6,0.755,1.43,15,0.05,0.05,7,0.755,1.43
36b0bcda-4671-45ff-8dea-d1fc8abe3a8d,Clapperton Dam,Lower Nicola,Rehabilitated barrier,7,1.3,1.3,4,1.3,1.3,6,1.3,1.3
1011302589,Moore Cr @ Private (11302589),Lower Nicola,Unassessed structure,8,0.44,0.44,,0,0,8,0.44,0.44
203630,Bottletop Creek @ Hwy 5 (203630),Lower Nicola,Non-actionable barrier,9,0.245,0.08,,0,0,9,0.245,0.08
196966,Bottletop Creek @ Juliet Dr (196966),Lower Nicola,Non-actionable barrier,9,0.245,0.41,,0,0,9,0.245,0.41
203634,Shackan Creek @ unnamed rd (203634),Lower Nicola,Data-deficient barrier,10,0.25,0.25,5,0.25,0.25,12,0.08,0.08
1011301294,Trib 2 to Coldwater R @ unnamed (11301294),Lower Nicola,Unassessed structure,11,0.115,0.09,6,0.115,0.09,,0,0
1011301293,Trib 2 to Coldwater R @ unnamed (11301293),Lower Nicola,Unassessed structure,11,0.115,0.14,6,0.115,0.14,,0,0
1011306530,Skuagam Cr @ KVR (11306530),Lower Nicola,Unassessed structure,12,0.21,0.21,7,0.21,0.21,,0,0
203629,Trib 1 to Coldwater (203629),Lower Nicola,Data-deficient barrier,13,0.063333333,0,,0,0,10,0.063333333,0
1011302223,Trib 1 to Coldwater R @ private (11302223),Lower Nicola,Unassessed structure,13,0.063333333,0,,0,0,10,0.063333333,0
1011300510,Trib 1 to Coldwater R @ Hwy 5 (11300510),Lower Nicola,Unassessed structure,13,0.063333333,0.19,,0,0,10,0.063333333,0.19
1011300296,Trib 3 to Coldwater R @ Coldwater Rd (11300296),Lower Nicola,Unassessed structure,14,0.065,0.06,,0,0,11,0.065,0.06
1011304160,Trib 3 to Coldwater R @ KVR (11304160),Lower Nicola,Unassessed structure,14,0.065,0.07,,0,0,11,0.065,0.07
1011301292,Trib 4 to Coldwater R @ unnamed (11301292),Lower Nicola,Unassessed structure,15,0.07,0.07,9,0.07,0.07,,0,0
203639,Stumbles Creek @ Unnamed (203639),Lower Nicola,Data-deficient barrier,16,0.41,0.08,,0,0,15,0.41,0.08
203637,Stumbles Creek @ Gravel Pit (203637),Lower Nicola,Data-deficient barrier,16,0.41,0.74,,0,0,15,0.41,0.74
1011300035,Trib 1 to Nicola R @ Petit Cr Rd (11300035),Lower Nicola,Unassessed structure,17,0.035,0.02,10,0.035,0.02,,0,0
1011300154,Trib 1 to Nicola R @ Hwy 8 (11300154),Lower Nicola,Unassessed structure,17,0.035,0.05,10,0.035,0.05,,0,0
196968,Murray Cr @ Maka Murray FSR (197968),Lower Nicola,Data-deficient barrier,18,0.04,0.04,,0,0,13,0.04,0.04
1011302097,Trib 4 to Coldwater R @ Basscoast pkg lot,Lower Nicola,Unassessed structure,19,0.04,0.04,11,0.04,0.04,,0,0
1011300145,Lindley Cr @ Shulus Rd (11300145),Lower Nicola,Unassessed structure,20,0.02,0.02,,0,0,14,0.02,0.02
