Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Reason For Exclusion,Method Of Exclusion,Reason,Notes,Supporting Links
1011300844,11300844.0,Voght Creek,Highway 5,Other,No key upstream habitat,Local knowledge,Impassable falls downstream,Not accessible to anadromous salmonids. Crossing not assessed.,
1011302471,11302471.0,Voght Creek,Unnamed,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls dwonstream,Not accessible to anadrmous salmonids. Crossing not assesed.,
196957,11300867.0,Brook Creek,Kettle Valley Railway,None,No structure,Field assessment,Passable,Burned out bridge has collpased but is not impeding passage.,
196997,11300768.0,Howarth Creek,Kane Valley Road,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197617
197014,11300916.0,Midday Creek,Patchett Road,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat. Fish population abundant due to stocking in Lily Lake upstream.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200146
197036,11301822.0,Midday Creek,Lily Lake Road,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland. ,Crossing scores as barrier but contains rearing habitat suitable for Rainbow Trout only. Overwintering habitat in outlet pool only. Rainbow Trout present upstream and downstream of crossing.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200147
197039,11300400.0,Kwinshatin Creek,Coldwater Road,Stream crossing - CBS,No key upstream habitat,Field assessment,"No suitable spawning habitat for salmon, excellent rearing habitat but too steep to access from Coldwater River.",Opportunistic Rainbow Trout spawning habitat present and 70 mm-200 mm Rainbow Trout common in stream. Possible RB/CT hybrid also present. Culvert is curved in middle and undersized.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198909
197694,24713788.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,"Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198962
197695,24713781.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,"Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198961
197696,11305711.0,Prospect Creek,Prospect Creek FSR,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,GPS coordinates incorrect,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198596
197880,11301738.0,Stumbles Creek,Private,Stream crossing - CBS,Passable,Field assessment,Passable,Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200140
197883,11301743.0,Stumbles Creek,Private,Stream crossing - CBS,Passable,Field assessment,Passable,Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200142
197891,11304291.0,Brook Creek,Kettle Valley Railway,None,No structure,Field assessment,Passable,Burned out bridge has collapsed but is not causing any passage issues.,
198881,11300797.0,Midday Creek,2000th Street,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200161
198882,11303627.0,Midday Creek,Unnamed,Stream crossing - CBS,No key upstream habitat,Field assessment,Habitat unsuitable for salmonids (though 1 Rainbow Trout captured). Organic bed likely leads to oxygen depletion in summer. ,Culvert is a barrier. Slow flows through summer. Abundant Sucker presence.,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200162
198883,11303791.0,Midday Creek,Unnamed,None,No structure,Field assessment,Crossing does not exist,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200163
55cd5d66-5bef-446f-bce3-8b097d001454,,Midday Creek,n/a,Dam,Passable,Field assessment,Passable,Partial earthen dam with open channel at south end.,
d0fe7d87-bba1-4edb-b132-01bdeccd7277,,Midday Creek,n/a,Dam,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Area flooded by beavers. Unclear whether dam exists.,
197890,,Brook Creek,Kettle Valley Railway,None,Passable,Field assessment,Passable,Burned out bridge with debris in stream but not blocking passage.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198910
1011301807,,Brook Creek,Unnamed,None,No structure,Field assessment,Crossing does not exist,No road observed,
