"Barrier ID","Site Name","Structure Type","Assessment Step Completed","Next Steps","Notes","Supporting Links"
"6ac0dab8-0785-4e46-ac24-c99d538b05bf","Chataway weir","Dam","Barrier assessment","Bring barrier to regulator","",""
"197013","Midday Cr @ Patchett Rd (197013)","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","Determine steelhead spawning potential","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205273"
"203634","Shackan Creek @ unnamed rd (203634)","Stream crossing - CBS","Barrier assessment","In-depth passage assessment (data deficient structures only)","",""
"203629","Trib 1 to Coldwater (203629)","Other","Barrier assessment","In-depth habitat investigation (data deficient structures only)","Recommend installing a data logger to better understand rearing habitat values of wetland upstream of KVR during freshet",""
"203639","Stumbles Creek @ Unnamed (203639)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","Abandoned road. Relatively easy to remove crossing with landowner permission. Aquifer provides high quality rearing and overwintering habitat. RB only - upstream of beaver dam.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205312"
"203637","Stumbles Creek @ Gravel Pit (203637)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","Embedment present for last 1/5 of outlet. Rearing habitat - good perennial flows, abundant cover, stable creek. Cover - overstream vegetation, undercut, and small woody debries. Spawning habitat - none - mixed cobble, gravel, fines. Overwintering habitat - fair - stream with approximately 3% gradient - fish would need to find low gradient locations to survive water velocities; fed by aquifer - consistent temperature throughout winter.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205310"
"196968","Murray Cr @ Maka Murray FSR (197968)","Stream crossing - CBS","Barrier assessment","Barrier reassessment","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197588"
"203641","Stumbles Creek @ Private (203641)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205314"
"203642","Stumbles Creek @ Private (203642)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","Approximately 30m upstream form culvert channel splits into two branches. North branch flows through wetland carrying 20% of flow, South Branch follows road ditch carrying 80% of flow. Confluence of branches at UTM - 10.651476. 5560172. Spawning habitat - no spawning due to lack of suitable substrate. Overwintering habitat - downstream of culvert are steady enough flows for overwintering but upstream are reduced flows, and possibly are suitable only at higher flows; unkown flow regime above culvert. Suspected, but uncertain of aquifer flows. Channel is mis-mapped by TRIM - needs to be verified. Rearing habitat -  stream provides good cover, but upstream N channel flows through wetlands (not preferable habitat for RB). South branch flows along the ditch for at least 50 meters - but unknown source - needs verification. Unknown fish habitat upstream of wetland - stream requires assessment  to determine suitability for RB. Access to property not granted.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205315"
"197689","Chataway Cr @ Skuhun-Chataway Lk FSR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198589"
"197693","Manning Creek @ Private (197693)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","",""
"197692","Manning Creek @ Manning FSR (197692)","Stream crossing - CBS","Barrier assessment","In-depth habitat investigation (data deficient structures only)","Steep channel upstream of crossing. ",""
