"Barrier ID","Site Name","Structure Type","Assessment Step Completed","Reason for Exclusion","Notes","Supporting Links"
"1011300844","","Other","Other","No key upstream habitat","",""
"1011306461","Salem Creek @ KVR (11306461)","Stream crossing - CBS","Informal assessment","No key upstream habitat","",""
"196957","","None","Barrier assessment","Passable","Burned out bridge has collpased but is not impeding passage.",""
"197039","","Stream crossing - CBS","Habitat confirmation","No key upstream habitat","Opportunistic Rainbow Trout spawning habitat present and 70 mm-200 mm Rainbow Trout common in stream. Possible RB/CT hybrid also present. Culvert is curved in middle and undersized.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198909"
"197041","Godey Creek @ Pooley Road (197041)","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Modified channel in industrial area.  Two dead RB found in culvert.  Channel dry.  Seasonal flow in lower reach indicated by local business owner, Saunders","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197694","","Stream crossing - CBS","Habitat confirmation","No key upstream habitat","Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198962"
"197880","","Stream crossing - CBS","Detailed habitat investigation","Passable","Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200140"
"197881","","Stream crossing - CBS","Barrier assessment","Passable","","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS4220]&searchKeyType=searchAll&sortColumn=title"
"197887","","Stream crossing - OBS","Barrier assessment","Passable","Bridge washed out, debris still present but not blocking fish. High density Rainbow Trout juveniles where crossing used to be. Fish temporarily stranded due to low water. Large log jam dam 10 m upstream from crossing, not passable by adults.",""
"197890","","None","Barrier assessment","Passable","Burned out bridge with debris in stream but not blocking passage.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198910"
"203628","Mine Creek at KVR","Stream crossing - Ford","Barrier assessment","Passable","",""
"1011302471","","Stream crossing - CBS","Other","No key upstream habitat","Not accessible to anadrmous salmonids. Crossing not assesed.",""
"196997","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197617"
"197012","","Stream crossing - OBS","Barrier assessment","Passable","Newer bridge over Midday Creek access to reserve properties","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197040","","Stream crossing - Ford","Barrier assessment","Passable","ford crossing within Coldwater IR","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197042","Godey Creek at Sunnyview Street (197042)","Stream crossing - CBS","Barrier assessment","No key upstream habitat","No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197043","Godey Creek at Coldwater Road ","Stream crossing - CBS","Barrier assessment","No key upstream habitat","No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197695","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Not accessible to anadromous salmonids; however, high-quality habitat may be worth pursuing r for non-focal species.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198961"
"197883","","Stream crossing - CBS","Other","Passable","Passable to adult fish at all flows and to all juvenile Coho at low flows; 87.5% of juvenile Coho at higher flows.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200142"
"197888","","Stream crossing - Ford","Habitat confirmation","No key upstream habitat","No crossing structure present, no dip in the road to form a ford. Stream dry at time of assessment. ","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS4220]&searchKeyType=searchAll&sortColumn=title"
"55cd5d66-5bef-446f-bce3-8b097d001454","1100002544","Dam","Barrier assessment","Passable","Partial earthen dam with open channel at south end.",""
"d0fe7d87-bba1-4edb-b132-01bdeccd7277","1100002545","Dam","Barrier assessment","No key upstream habitat","Area flooded by beavers. Unclear whether dam exists.",""
"197044","Godey Creek at Sterling Road","Stream crossing - CBS","Barrier assessment","No key upstream habitat","No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ","http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title"
"197696","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","GPS coordinates incorrect","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198596"
"197885","","Stream crossing - OBS","Barrier assessment","Passable","",""
"197886","","Stream crossing - OBS","Barrier assessment","Passable","",""
"198882","1011303627","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Culvert is a barrier. Slow flows through summer. Abundant Sucker presence.","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200162"
"203636","","Stream crossing - CBS","Barrier assessment","Passable","",""
"203638","11302218","Stream crossing - Ford","Barrier assessment","Passable","","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205301"
"1024731185","","","Other","No key upstream habitat","",""
"198881","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200161"
"203625","11301334","Stream crossing - Ford","Barrier assessment","No key upstream habitat","","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205298"
"1011300553","","","Other","No key upstream habitat","",""
"197014","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat. Fish population abundant due to stocking in Lily Lake upstream.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200146"
"1011300018","","","Other","No key upstream habitat","",""
"1011300705","","","Other","No key upstream habitat","",""
"197036","","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Crossing scores as barrier but contains rearing habitat suitable for Rainbow Trout only. Overwintering habitat in outlet pool only. Rainbow Trout present upstream and downstream of crossing.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200147"
"203633","11304154","None","Barrier assessment","No structure","Structure washed out in 2021 flood",""
"203621","Trib 1 to Coldwater @ Pipeline (203621)","None","Barrier assessment","No key upstream habitat","",""
"1011301807","","None","Habitat confirmation","No structure","No road observed",""
"1011304083","","None","Barrier assessment","No structure and key upstream habitat","Dry gully near former KVR line. Stream does not exist",""
"203640","1011300123","None","Barrier assessment","No structure","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205313"
"203624","Trib 1 to Coldwater @ Hwy 5 (203624)","Stream crossing - CBS","Barrier assessment","No key upstream habitat","Stream does not exist at this point - ditch and crossdrain",""
"198883","1011303791","None","Barrier assessment","No structure","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200163"
"197891","","None","Barrier assessment","No structure","Burned out bridge has collapsed but is not causing any passage issues.",""
