Name,Organization,Member Status
Betty Rebellato,Canadian Wildlife Federation,Present
Nicolas Lapointe,Canadian Wildlife Federation,Present
Nick Mazany-Wright,Canadian Wildlife Federation,Present
Sarah Sra,Canadian Wildlife Federation,Present
Colin McGregor,Department of Fisheries and Oceans Canada,Present
Sarah Ostoforoff,Department of Fisheries and Oceans Canada,Present
Josh Noseworthy,Global Conservation Solutions,Past
Simon Norris,Hillcrest Geographics,Present
Alex LaForce,Lower Nicola Indian Band,Present
Mac Jedrzejczyk,Lower Nicola Indian Band,Past
Macus Ong,Lower Nicola Indian Band,Past
Roderick Malcom,Lower Nicola Indian Band,Past
Mark Philpotts,Ministry of Forests, Lands and Natural Resource Operations,Present
Patrick Farmer,Ministry of Forests, Lands and Natural Resource Operations,Present
Tom Willms,Nicola Valley Institute of Technology,Present
Al Mackay-Smith,Nicola Watershed Community Roundtable,Present
Lou Cook,Nicola Watershed Community Roundtable,Past
Richard Bailey,Independent Consultant,Present
David Lawrence,Nooaitch Band,Past
Nathan Lustig,Scw’exmx Tribal Council,Present
Jess Urqhart,Scw’exmx Tribal Council,Present
Paul Mozin,Scw’exmx Tribal Council,Past
