aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,all_spawning_set_id,all_spawning_total_hab_gain_set,all_spawning_num_barriers_set,all_spawning_avg_gain_per_barrier,all_spawning_dnstr_set_ids,all_spawning_rank_avg_gain_per_barrier,all_spawning_rank_avg_gain_tiered,all_spawning_rank_total_upstr_hab,all_spawning_rank_combined,all_spawning_tier_combined,all_rearing_set_id,all_rearing_total_hab_gain_set,all_rearing_num_barriers_set,all_rearing_avg_gain_per_barrier,all_rearing_dnstr_set_ids,all_rearing_rank_avg_gain_per_barrier,all_rearing_rank_avg_gain_tiered,all_rearing_rank_total_upstr_hab,all_rearing_rank_combined,all_rearing_tier_combined,label_in_wcrp,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1011304238,1011304238,Skuhun Creek @ Mouth (11304238),MODELLED CROSSINGS,TRAIL,OBS,PASSABLE,Nicola Kamloops and Similkameen Rail Trail,,356352213,Skuhun Creek,Mouth,Stream crossing - CBS,,,Rehabilitated barrier,Rehabilitated,,,,,,,,,Removal/decommissioned,,,,,Post-rehabilitation monitoring,10/31/2025,TBD,"Shackan, STC, Nooaitch, LNIB",Important steelhead stream,Mouth reconfigured to remove drop,,11304238,,,,,,,,,,,,10,629368,5572538,68.18651807,LNIC,Skuhun Creek,,0,197681;197689;6ac0dab8-0785-4e46-ac24-c99d538b05bf,3,,,,13.43,13.43,3.14,3.14,13.43,13.43,12712,26.19,2,13.095,,1,2,1,1,A,7382,5.61,2,2.805,,1,2,1,1,A,3282,26.19,2,13.095,,1,2,1,1,A,yes,1,13.095,13.43
197889,197889,Skuhun Creek @ Hwy 8 (197889),PSCIS,"ROAD, DEMOGRAPHIC",CBS,PASSABLE,Potatosillihee Bridge,,356352213,Skuhun Creek,Highway 8,Stream crossing - CBS,MOTI,,Rehabilitated barrier,Barrier assessment,,,,,High,Moderate,350000,High,Retrofit,MOTI,7/31/2024,,,Post-rehabilitation monitoring,10/31/2025,TBD,"Shackan, STC, Nooaitch, LNIB",Important steelhead stream,Clearspan bridge with concrete apron became perched. Stream bottom built back up through crossing and backwatered.,,24713603,ASSESSED,CRTBOX,Highway 8,Skuhun Creek,Crossing is actually a bridge with concrete apron that functions like a box culvert. No adult Coho observed upstream or downstream. Abundant rainbow trout fry.,10/27/2021,,,,,,10,629969,5572716,740,LNIC,Skuhun Creek,,0,197681;197689;6ac0dab8-0785-4e46-ac24-c99d538b05bf,3,,,,12.76,12.76,2.47,2.47,12.76,12.76,12712,26.19,2,13.095,,1,2,1,1,A,7382,5.61,2,2.805,,1,2,1,1,A,3282,26.19,2,13.095,,1,2,1,1,A,yes,2,26.19,26.19
197681,197681,Chataway @ Skuhun-Pimanus FSR (197681),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356334818,Chataway Creek,Skuhun-Pimanus FSR,Stream crossing - CBS,,,Non-actionable barrier,Barrier assessment,,,,,Low,,,,,,,,,Non-actionable,,,,Some rearing habitat values upstream but intermittent stream with low priority from a watershed context.,,,11304582,ASSESSED,OVAL,Chataway FSR,Chataway C. 120-246600-11500-58990,"Stream is dewatered. - 1.5m from culvert inlet 0.5m high x 1m long cascade will create access problems when watered. Weir notch is 1m above concrete base. Lip of concrete base is 0.75m above stream bed. Lower base of trapezoid = 2.3m, length = 1.3m, longer trapezoid base = 4.8m. Stream is dewatered downstream of weir to confluence with tributary 58900-2570 downstream (550m). Spawning habitat - none. Overwintering habitat - none. Rearing habitat - fair - stream is stablized by boulders but negatively affected by low flows/dewatering. No suitable spawning habitat for anadromous fish was observed upstream of the confluence with Skuhun C. and the stream supports only a resident rainbow trout.",9/16/2024,,,,,,10,647668,5577400,3698,LNIC,Chataway Creek,,0,197689;6ac0dab8-0785-4e46-ac24-c99d538b05bf,2,,,,5.33,0.08,0,0,5.33,0.08,11482,5.15,2,2.575,,3,4,2,2,A,14762,0,3,0,,,,,,,12302,5.15,2,2.575,,3,4,2,2,A,yes,3,28.765,26.27
6ac0dab8-0785-4e46-ac24-c99d538b05bf,6ac0dab8-0785-4e46-ac24-c99d538b05bf,Chataway weir,CABD,DAM,OTHER,BARRIER,,,356334818,Chataway Creek,n/a,Dam,,,Data-deficient barrier,Barrier assessment,,,,,,,,,,,,,,Bring barrier to regulator,,,,Weir blocks fish passage. Does not apepar to be licensed through Ministry. Send to regulator to determine legality of structure.,,,,,DAM,,,,,,1.55,,Unknown,Active,10,647635,5577468,3775.656599,LNIC,Chataway Creek,197681,1,197689,1,,,,5.25,5.07,0,0,5.25,5.07,11482,5.15,2,2.575,,3,4,2,2,A,14762,0,3,0,,,,,,,12302,5.15,2,2.575,,3,4,2,2,A,yes,4,31.34,31.34
196969,196969,Murray Lake Creek (196969),PSCIS,"ROAD, RESOURCE/OTHER",CBS,PASSABLE,,,356316233,Murray Lake Creek,Maka-Murray/Maka-Michael JCT,Stream crossing - CBS,FLNRO,,Rehabilitated barrier,Rehabilitated,,,,,,Easy,150000,High,Replacement - OBS,FLNRO,8/31/2024,,,Post-rehabilitation monitoring,10/31/2025,CWF,"Nooaitch, LNIB",Active Coho spawning and rearing stream,Culvert and road are a significant sediment source to stream,,11304548,ASSESSED,ROUND,Michael FSR,Murrary Lake C. 120-246600-5300-5100,"Complete CV assessment done in year 2017/09/14. Culvert complety destroyed, no measurments done. CO presence confirmed above and below crossing. CO sparse upstream of crossing between wetlands. 1st wetland has an excellent overwintering and rearing habitats. Cover composed of DP/ISV, OSV/CB, SWD. Streambed gravelly with combination of good cover stream provides ideal rearing habitat for CO.",6/25/2023,,,,,,10,641883,5520345,415,LNIC,,,0,196968,1,,,,3.07,3.07,0,0,3.07,3.07,10252,3.07,1,3.07,,2,3,4,3,A,9432,0,1,0,,,,,,,5742,3.07,1,3.07,,2,3,4,3,A,yes,5,34.41,34.41
197882,197882,Stumbles Creek @ private  (11304215),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356276550,Stumbles Creek,Unnamed,Stream crossing - CBS,Private,Jacob Aarts,Priority barrier,Detailed habitat investigation,,,Yes,Proportion of individuals,High,Easy,150000,Medium,,,,,,Engage with barrier owner,4/1/2025,LNIB,"DFO, STC, CWF","Important migratory corridor for Coho. Fully passable to adults, passable to juveniles at low flows and 50% at higher fllows.",Major habitat restoration potential at this site. ,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200141,,ASSESSED,OVAL,unnamed,Stumbles C. 120-24600-28500,"Complete CV assessment done in year 2021/11/03. Calculated water velocity at low flows if the culvert is passable to juvenile fish. Coho and rainbow trout captured above the culvert,passable to fish at low flows. Water velocity calculated at 0.26 m/s.",6/23/2023,,,,,,10,650794,5557197,1794,LNIC,Stumbles Creek,,0,1011304112;1011304287;197884;203637;203639;203641;203642,7,,,,4.49,0.46,2.08,0.47,4.49,0.46,11892,2.69,2,1.345,,5,6,3,4,A,11072,2.08,2,1.04,,4,5,3,3,A,14762,2.69,2,1.345,,5,6,3,4,A,yes,6,35.755,34.87
197884,197884,Stumbles @ Hwy 8 (11300751),PSCIS,"ROAD, DEMOGRAPHIC",CBS,BARRIER,Merritt-Spences Bridge Hwy 8,,356276550,Stumbles creek,Highway 8,Stream crossing - CBS,MOTI,,Priority barrier,Detailed habitat investigation,,,Yes,Proportion of individuals,High,Moderate,650000,Medium,,,,,,Engage with barrier owner,2/28/2025,LNIB,"STC, CWF",Important migratory corridor for Coho,Passable to adult fish at all flows. No outlet pool and 0.11 m drop onto rocks likely an impediment to both juveniles and adults. The calculated water velocity is 0.07 m/s. CO fry captured. Water is diverted upstream of Hwy 8 for irrigation purposes during the growing season and regulated by a manual irrigation gate. Most water was diverted during the assessment. Mr. Miller observed CO spawning upstream of Hwy 8 after the gate was opened in the fall.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200143,11300751,ASSESSED,ROUND,HWY 8,Stumbles C. 120-24600-28500,Complete CV assessment done in year 2021/11/03. Water barely flows through CV - water velocity not calculated. Culvert is impassable due to diversion of flow for irrigation purposes. Irrigation gate is located ~150 m upstream. Water drops on rocks at the outlet. In fall the irrigation gate is closed and flow is good. for coho to pass to upper reaches and spawn. CO fry captured upstream.,6/24/2023,,,,,,10,650969,5557584,2262,LNIC,Stumbles Creek,197882,1,1011304112;1011304287;203637;203639;203641;203642,6,,,,4.03,2.23,1.61,1.61,4.03,2.23,11892,2.69,2,1.345,,5,6,3,4,A,11072,2.08,2,1.04,,4,5,3,3,A,14762,2.69,2,1.345,,5,6,3,4,A,yes,7,37.1,37.1
197013,197013,Midday Cr @ Patchett Rd (197013),PSCIS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,900th St,,356341782,Midday Creek,Patchett Road,Stream crossing - CBS,Private,,Data-deficient barrier,Barrier assessment,,,,,Low,,,,,,,,,Habitat confirmation (data deficient structures only),,,,Dry at time of assessment but could be movement corridor for steelhead spawning upstream,Determine steelhead spawning potential,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205273,11300356,ASSESSED,ROUND,Patchett Road,Midday Creek,"Stream is dry, extensive beaver activities throughout of assessed length. Seasonal stream, potentially used as migratory corridor to u/s reaches for ST if spawning habitat exists. The corridor is negatively affected by beaver dams. Existence of spawning habitat should be evaluated - access not granted in 2024. The stream is mismapped by TRIM, it was GPS'd on Oct 10, 2024 from the crossing to the mouth. ~500m section of channel from the mouth is overgrown by perennial plants (grassess and sedges) and is used by cattle as a trail. No alluvium was observed. The stream is flooded only during freshet and may remain watered for ~2 months; however it is likely passable to ST up to the end of Reach 1. Unknown if spawning habitat for ST is present beyond the crossing. The stream may also be used as a refuge or rearing habitat for CO and CH when watered, but is unusable for overwintering. Overall the stream in R1 does not contain preferable habitat for ST or RB.",9/30/2024,,,,,,10,648231,5538855,197,LNIC,Midday Creek,,0,,,,,,2.33,2.33,2.33,2.33,2.33,2.33,10662,2.33,1,2.33,,4,5,5,5,A,9842,2.33,1,2.33,,2,3,2,2,A,12712,2.33,1,2.33,,4,5,5,5,A,yes,8,39.43,39.43
203627,203627,Mine Creek at Highway 5 (203627),PSCIS,"ROAD, DEMOGRAPHIC",CBS,BARRIER,Mine Creek Rd Onramp,,356279166,Mine Creek,Highway 5,Stream crossing - CBS,,,Non-actionable barrier,Barrier assessment,,,,,Low,,,,,,,,,Non-actionable,,,,Appears to have had historic habitat value but not capable of supporting fish in its current state. Consider revisiting following habitat restoration or ecosystem recovery from wildfires.,,,11300057,ASSESSED,OVAL,Highway 5,Mine Creek,"One channel width taken due to anthropomorphic restrictions of channel (rip rap). D95=D=33cm. Spawning habitat - none. Overwintering habitat - none. Seasonal stream. Rearing habitat - stream unstable/prone to erosion; does not provide stable rearing habitat for fish, potentially used in low flows only.",9/19/2024,,,,,,10,643304,5505392,244,LNIC,Mine Creek,,0,196942,1,,,,1.51,0.08,0.14,0.09,1.51,0.08,13122,1.51,2,0.755,,7,8,7,6,A,8202,0.09,1,0.09,,8,10,8,8,A,15582,1.51,2,0.755,,7,8,7,7,A,yes,9,40.185,39.51
